Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,Lead Profile,City,A free copy of Mastering The Interview,Last Notable Activity,ttspow_pvps,tttspow_totalvisits,pvps_totalvisits,Time_Per_Page,Time_Per_Visit,Engagement_Score,Engagement_Level,Converted
0,2,0,0,0.0844631062295195,-0.590050797104806,0.7271340306100469,8,1,3,1,3,0,2,-0.34845920226442084,-0.4700971889459746,0.18047752509508422,-0.6571538275755449,-0.5691569208830793,-0.5883460287297415,0.51946176246729,1
1,1,0,0,-0.7115798344430262,1.5093402332150496,-0.4461857394941374,8,9,3,0,0,1,6,0.5167329882577832,0.12156552542021372,-0.6556590419358611,1.7601223158749855,2.3069006138275405,1.5060375213551425,-0.4243447238583948,0
0,2,0,0,-0.7115798344430262,-0.09383109902920378,-0.4461857394941374,3,10,2,4,1,0,1,-0.3378017396712022,-0.46280907040394986,-0.6556590419358611,0.06776038658194873,0.2933407268496339,-0.09608415355801249,-0.4243447238583948,0
1,3,0,0,0.8805060469020651,-0.41010299450596127,0.14047414555795473,3,12,0,0,3,1,1,-0.33150414813884577,-0.09972825576490038,0.31983361960024176,-0.43927662001179846,-0.5748316766384107,-0.4076078125689037,1.4632682487929747,0
1,2,0,0,-0.3135583641067533,-0.3519380482113852,0.14047414555795473,5,3,3,0,0,0,2,-0.2849988568229826,-0.42669975580937286,-0.30726880567296727,-0.3932259552691308,-0.2551374623186678,-0.35220564580603386,0.51946176246729,0
1,3,0,0,0.4824845765657923,0.6659485119436964,-0.15285579696809135,3,6,3,0,0,1,1,0.29801279003786435,0.7612635665406559,-0.06339564028894151,0.608581586208635,0.1597882853664054,0.6663768136129589,1.4632682487929747,0
0,2,0,0,-0.7115798344430262,-0.9390404748722626,-1.0328456245462296,8,10,3,0,1,0,2,-0.8222318575447768,-0.7708977178622675,-0.7950151364410187,-0.7573140233908471,-0.768229961863208,-0.9416483708732887,-1.3681512101840796,0
1,3,0,0,-0.3135583641067533,-0.564603633100929,0.14047414555795473,8,5,3,0,2,1,2,-0.45503382819660726,-0.5429783743662218,-0.30726880567296727,-0.5615986982345095,-0.45546612454351054,-0.5647319904373708,-0.4243447238583948,0
0,1,0,0,1.676548987574611,0.7713724771026156,2.487113685766323,8,10,0,0,1,0,6,2.57216997839536,1.8621007445019346,2.9675994151982352,-0.23132908703318977,-0.15868292124744723,0.77854349550172,1.4632682487929747,1
1,1,0,0,-0.7115798344430262,2.150972297027092,-0.4461857394941374,8,6,3,3,0,1,6,0.8587406514765269,0.3554478749960978,-0.6556590419358611,2.4374508431317223,3.1127811581622353,2.1472494842172103,-0.4243447238583948,0
1,1,0,0,-0.7115798344430262,-0.9517640568742011,-0.4461857394941374,8,1,0,0,2,1,2,-0.7951037709438565,-0.7755356114799196,-0.6556590419358611,-0.8379026866905155,-0.7842105958868422,-0.953455390019474,-1.3681512101840796,0
1,2,0,0,-0.3135583641067533,-0.33739681163774116,0.14047414555795473,8,3,3,3,2,0,6,-0.2733725339940168,-0.418749081036255,-0.30726880567296727,-0.38171328908346386,-0.24143977601269564,-0.3376739299338057,0.51946176246729,1
0,3,0,0,-0.7115798344430262,-1.0517350583180038,-0.4461857394941374,3,10,3,0,1,0,2,-0.8483910839099498,-0.8119762041900431,-0.6556590419358611,-0.9434354600591289,-0.9097727203582536,-1.0533609366410426,-1.3681512101840796,0
2,4,0,0,-0.3135583641067533,0.795001986534787,-0.4461857394941374,9,10,3,0,1,0,2,0.1359709156091537,0.2004097169202993,-0.5163029474307036,1.0060426807138023,0.8252675450648858,0.7930752113739482,-0.4243447238583948,1
0,0,0,0,-1.109601304779299,1.9055889298468494,-1.0328456245462296,3,10,3,0,1,0,1,-0.0640987230726326,-0.2756369351201333,-0.8646931836935975,3.7470166217513343,4.670892975466567,1.9002103143893314,-0.4243447238583948,1
2,5,0,0,-1.5076227751155717,-1.0662762948916478,-1.6195055095983217,3,9,4,3,1,0,2,-0.8561419657959269,-0.8172766540387884,-0.9343712309461762,-0.9587856816400181,-0.9280363020995498,-1.0715255814813278,-1.3681512101840796,0
0,3,0,0,0.0844631062295195,-0.7263748899827187,-0.4461857394941374,7,10,3,3,1,0,2,-0.67496510171121,-0.569480623609948,-0.376946852925546,-0.5999742521867325,-0.6718895681778705,-0.726397329515909,-0.4243447238583948,0
1,1,0,0,-0.7115798344430262,0.5278067644940782,-0.4461857394941374,8,9,0,0,3,1,2,-0.0064515390456772286,-0.23621483937009052,-0.6556590419358611,0.7239823591649629,1.0741088462900463,0.5251466999797414,-0.4243447238583948,0
1,1,0,0,-0.3135583641067533,-0.13018419046331384,0.14047414555795473,3,6,0,0,2,1,2,-0.10769743368125431,-0.30545196551932535,-0.30726880567296727,-0.2176577959377103,-0.04624774615259245,-0.13059697875455437,0.51946176246729,0
2,5,0,0,-1.5076227751155717,-1.0662762948916478,-1.6195055095983217,8,10,3,0,1,0,6,-0.8561419657959269,-0.8172766540387884,-0.9343712309461762,-0.9587856816400181,-0.9280363020995498,-1.0715255814813278,-1.3681512101840796,1
1,1,1,0,-0.7115798344430262,0.018863484416537388,-0.4461857394941374,1,9,0,0,0,1,4,-0.27773240505487895,-0.4217305840761742,-0.6556590419358611,0.18672460383384015,0.4348834853446794,0.016536644451755764,-0.4243447238583948,0
1,1,0,0,-0.3135583641067533,1.38392206776737,0.14047414555795473,3,6,3,0,0,1,2,1.1028934308848084,0.5224120452315731,-0.30726880567296727,0.9810985706448574,1.380023840456758,1.382517936441203,0.51946176246729,1
1,1,0,0,-0.7115798344430262,-0.7409161265563627,-0.4461857394941374,3,1,3,0,3,1,1,-0.6827159835971873,-0.6986790886731135,-0.6556590419358611,-0.6153244737676218,-0.5193886606380473,-0.7427455098721657,-1.3681512101840796,1
1,3,0,0,0.4824845765657923,0.7968196411064926,1.313793915662139,8,6,2,0,0,1,6,1.6265623883061424,0.880523688137424,0.8075799503682932,0.024587888385697792,0.24197440320223834,0.799432837068048,1.4632682487929747,1
0,2,0,0,-0.7115798344430262,-0.7081983442656637,-0.4461857394941374,3,1,3,1,1,0,1,-0.6652764993537386,-0.6867530765134366,-0.6556590419358611,-0.580786475210621,-0.47829560172013075,-0.7100491491596523,-1.3681512101840796,0
1,2,0,0,-0.3135583641067533,0.017045829844831887,0.14047414555795473,3,11,4,0,0,0,1,0.010019084962024305,-0.22495138344150686,-0.30726880567296727,-0.10109205080783278,0.0924413276953756,0.016536644451755764,0.51946176246729,1
1,2,1,0,0.8805060469020651,0.6604955482285799,1.9004538007142313,1,9,3,0,0,1,2,1.9051097060834479,1.0710086045767062,1.5740384701466599,-0.1775690476126201,0.001449554377132064,0.6650144652499375,1.4632682487929747,0
1,1,0,0,-1.109601304779299,1.409369231771247,-1.0328456245462296,10,12,3,0,2,0,2,-0.19634814525211844,-0.3660758606643491,-0.8646931836935975,2.961277154579567,3.736025885083968,1.4043155102495453,-0.4243447238583948,1
1,1,0,0,2.27358119307902,0.4132945264766315,-0.15285579696809135,7,4,0,0,3,1,2,0.12967332407679721,1.7444970134828994,0.7204823913025697,0.3799729290932492,-0.3970878900490102,0.41797529542205875,1.4632682487929747,0
1,1,0,0,-0.7115798344430262,0.7023016033778064,-0.4461857394941374,3,6,4,1,0,1,1,0.08655904358604909,-0.17260944118514754,-0.6556590419358611,0.9081850181356336,1.293271827185601,0.6995272904464793,-0.4243447238583948,1
0,3,0,0,-0.3135583641067533,-0.7300101991261297,0.14047414555795473,0,9,3,1,1,0,2,-0.5872832503760931,-0.6334172999104376,-0.30726880567296727,-0.6925552760964706,-0.6112773062739437,-0.7300302584839661,-0.4243447238583948,0
0,3,0,0,-0.7115798344430262,-0.7918104545641168,-0.4461857394941374,3,10,3,1,1,0,2,-0.7098440701981075,-0.7172306631437217,-0.6556590419358611,-0.669050249300734,-0.5833111967325839,-0.7936065154249643,-1.3681512101840796,0
2,5,0,0,-0.7115798344430262,1.7474529821084706,-0.4461857394941374,7,10,3,0,1,0,5,0.6436536791406599,0.20836039169341716,-0.6556590419358611,2.0114821942620464,2.6059667648412654,1.7439943687628785,-0.4243447238583948,1
1,1,0,0,0.0844631062295195,1.1803447557363538,0.7271340306100469,7,9,3,0,0,1,2,1.5388805369710254,0.8205623492234934,0.18047752509508422,0.4641798589084128,0.7649977253186082,1.1808903787140372,1.4632682487929747,0
1,1,0,0,-0.7115798344430262,-0.33194384792262466,-0.4461857394941374,8,3,0,0,3,1,6,-0.46472243055407875,-0.5496039366771533,-0.6556590419358611,-0.1835994918051124,-0.005725424164091566,-0.3340410009657486,-0.4243447238583948,0
1,1,0,0,0.8805060469020651,-0.5627859785292235,-0.4461857394941374,7,3,3,4,0,1,5,-0.5877676804939667,-0.2666924260003757,-0.0982346639152309,-0.4272842594017288,-0.6570177944742437,-0.5610990614693137,-0.4243447238583948,0
1,1,0,0,-0.3135583641067533,-0.506438686806353,-0.7395156820201835,3,14,3,3,4,0,2,-0.6323352513383356,-0.5111756752737503,-0.6208200183095718,-0.249605444602936,-0.40067537931962194,-0.5079674753114795,-1.3681512101840796,0
1,1,0,0,-0.7115798344430262,0.011592866129715378,-0.4461857394941374,8,2,0,0,2,1,2,-0.2816078459978676,-0.4243808090005468,-0.6556590419358611,0.17904949304339549,0.4257516944740313,0.009270786515641683,-0.4243447238583948,0
1,2,0,0,-0.7115798344430262,-0.571874251387751,-0.4461857394941374,0,6,3,0,0,1,2,-0.5926119816727025,-0.6370613591814499,-0.6556590419358611,-0.4368781478897845,-0.3070745228954788,-0.5738143128575133,-1.3681512101840796,0
